row_type,variant,driver_hash,step,candidate_hash,direct_net,marginal_penalty,penalty_before,penalty_after,repair_action,avoided_penalty,repair_value,lost_profit,deadline,feasibility,confidence,redaction_status
money_repair_sample,money_trajectory_repair,e7a52d984e7e,100,de0fe73fa26c,865.79,0.0,2400.0,2400.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,e7a52d984e7e,101,023b26839df7,291.35,0.0,2400.0,2400.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,e7a52d984e7e,104,1c37dfe28f47,724.8,0.0,0.0,0.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,2,f4049e4839c8,806.78,0.0,70000.0,70000.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,5,7803c3dbbfb9,865.53,0.0,68200.0,68200.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,6,e547489356f8,369.08,120.0,68200.0,68320.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,9,23142086f82a,984.5,120.0,66520.0,66640.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,14,cf39942b9830,779.21,0.0,64840.0,64840.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,17,43818e17a455,1221.86,0.0,63040.0,63040.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,20,d19aa33a3716,823.75,120.0,61240.0,61360.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,24,1565faf36b0b,825.68,0.0,57760.0,57760.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,25,5dc2bfa4733d,115.41,0.0,57760.0,57760.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,28,2e59525c4059,986.83,0.0,55960.0,55960.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,31,6c336519f96a,813.57,120.0,54160.0,54280.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,34,5815dbeaa2f6,683.8,0.0,52480.0,52480.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,35,1eed49dbf1c9,259.19,0.0,52480.0,52480.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,38,373677ddca27,1117.76,0.0,50680.0,50680.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,42,8ef9cad7b262,594.25,0.0,48880.0,48880.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,47,b48bf4cf59c0,488.02,120.0,47080.0,47200.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,48,15c649199a06,9.15,120.0,47200.0,47320.0,delete_replace_or_wait_macro,120.0,120.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,53,138f6a59b260,706.98,0.0,43720.0,43720.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
money_repair_sample,money_trajectory_repair,3e0e35341231,57,96141d183841,623.95,0.0,41920.0,41920.0,none,0.0,0.0,,redacted_runtime_boundary,offline_replay_approx,0.65,raw value redacted
