run_id,dataset_tag,driver_id_hash,gross_income,distance_cost,gross_minus_cost,preference_penalty,official_net,expected_official_net,rounding_delta,net_already_penalty_adjusted,proxy_double_count_forbidden,take_order,wait,reposition,query_minutes,query_minutes_per_take,illegal_actions,rejected_takes,income_calculation_aborted,simulation_failure
runs/next_build/20260509/dynamic_query_reposition,20260509_reference,d1b26936cffa,50506.17,14092.24,36413.93,12300.0,24113.92,24113.93,-0.01,True,True,97,3,0,678,6.99,0,0,False,False
runs/next_build/20260509/dynamic_query_reposition,20260509_reference,f9abd903cb86,49838.26,15800.39,34037.87,38050.0,-4012.13,-4012.13,0.0,True,True,87,7,0,680,7.82,0,0,False,False
runs/next_build/20260509/dynamic_query_reposition,20260509_reference,263f61d9f731,48378.82,15189.18,33189.64,39600.0,-6410.36,-6410.36,0.0,True,True,89,7,0,665,7.47,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,e7a52d984e7e,51450.3,16169.46,35280.84,8500.0,26780.84,26780.84,0.0,True,True,86,2,0,861,10.01,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,3e0e35341231,53783.92,15710.26,38073.66,12350.0,25723.66,25723.66,0.0,True,True,87,2,0,871,10.01,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,983f9a2734ca,53585.5,15742.47,37843.03,12000.0,25843.03,25843.03,0.0,True,True,87,2,0,871,10.01,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,af4b17af9fc7,52035.01,17166.25,34868.76,3600.0,31268.76,31268.76,0.0,True,True,82,8,0,892,10.88,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,3c5844ed8465,53585.5,15730.83,37854.67,9600.0,28254.67,28254.67,0.0,True,True,87,2,0,871,10.01,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,b8424551b996,53783.92,15761.85,38022.07,12400.0,25622.07,25622.07,0.0,True,True,87,2,0,871,10.01,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,0bcc30e5393c,53585.5,15735.51,37849.99,19880.0,17969.99,17969.99,0.0,True,True,87,2,0,871,10.01,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,d1b26936cffa,52035.01,17133.85,34901.16,13400.0,21501.16,21501.16,0.0,True,True,82,8,0,892,10.88,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,f9abd903cb86,53783.92,15752.58,38031.34,39100.0,-1068.66,-1068.66,0.0,True,True,87,2,0,871,10.01,0,0,False,False
runs/next_build/20260509/marginal_pref_only,20260509_reference,263f61d9f731,53783.92,15737.67,38046.25,40080.0,-2033.75,-2033.75,0.0,True,True,87,2,0,871,10.01,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,e7a52d984e7e,52829.27,16188.74,36640.53,10000.0,26640.54,26640.53,0.01,True,True,75,2,0,749,9.99,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,3e0e35341231,54861.05,17326.23,37534.82,12350.0,25184.82,25184.82,0.0,True,True,73,7,0,795,10.89,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,983f9a2734ca,57492.04,17257.03,40235.01,10000.0,30235.0,30235.01,-0.01,True,True,75,8,0,825,11.0,0,0,False,False
runs/next_build/20260509/money_greedy_no_pref,20260509_reference,af4b17af9fc7,58132.38,17659.03,40473.35,3200.0,37273.35,37273.35,0.0,True,True,74,8,0,815,11.01,0,0,False,False
