row_type,run_id,dataset_tag,driver_id_hash,day_index,rule_index,rule_hash,rule_type,progress,debt,deadline,repair_windows,marginal_violation_cost,marginal_repair_value,actual_penalty,missed_repair_opportunities,longest_continuous_wait_minutes,wait_minutes,query_minutes_inside_rest_window,no_query_rest_block_used,redaction_status,attribution_method
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,,0,769e208fed14,violation_count,"{""violations"":4}",2000.0,generic_month_or_rule_deadline,redacted_generic_window,500.0,2000.0,2000.0,1,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,,1,44b9698e1ed8,violation_count,"{""violations"":1}",280.0,generic_month_or_rule_deadline,redacted_generic_window,280.0,280.0,280.0,1,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,,2,af038c7fe7e1,violation_count,"{""violations"":4}",800.0,generic_month_or_rule_deadline,redacted_generic_window,200.0,800.0,800.0,1,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,,3,626f9eaace2c,generic,{},0.0,generic_month_or_rule_deadline,redacted_generic_window,0.0,0.0,0.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,d1b26936cffa,,0,8ff546b60f7f,full_rest_day,"{""off_days"":2}",0.0,generic_month_or_rule_deadline,redacted_generic_window,0.0,0.0,0.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,d1b26936cffa,,1,e79137d53b95,violation_count,"{""violations"":0}",0.0,generic_month_or_rule_deadline,redacted_generic_window,0.0,0.0,0.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,d1b26936cffa,,2,37acabfcfff4,violation_count,"{""violations"":5}",1000.0,generic_month_or_rule_deadline,redacted_generic_window,200.0,1000.0,1000.0,1,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,d1b26936cffa,,3,512b6d847293,violation_count,"{""violations"":5}",500.0,generic_month_or_rule_deadline,redacted_generic_window,100.0,500.0,500.0,1,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,f9abd903cb86,,0,f2fbfe6873f0,date_specific,"{""satisfied"":false}",10000.0,generic_month_or_rule_deadline,redacted_generic_window,10000.0,10000.0,10000.0,1,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,f9abd903cb86,,1,466b01807713,violation_count,"{""violations"":30}",27000.0,generic_month_or_rule_deadline,redacted_generic_window,900.0,27000.0,27000.0,1,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,f9abd903cb86,,2,e1d623020e32,violation_count,"{""violations"":0}",0.0,generic_month_or_rule_deadline,redacted_generic_window,0.0,0.0,0.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,263f61d9f731,,0,3da567b3a682,generic,{},30600.0,generic_month_or_rule_deadline,redacted_generic_window,30600.0,30600.0,30600.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,263f61d9f731,,1,eeef06133871,generic,{},3000.0,generic_month_or_rule_deadline,redacted_generic_window,3000.0,3000.0,3000.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,263f61d9f731,,2,fe506ffb3572,violation_count,"{""violations"":0}",0.0,generic_month_or_rule_deadline,redacted_generic_window,0.0,0.0,0.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
preference_rule,runs/next_build/20260509/calendar_rest_only,20260509_reference,263f61d9f731,,3,f37d4e6f83fa,violation_count,"{""violations"":0}",0.0,generic_month_or_rule_deadline,redacted_generic_window,0.0,0.0,0.0,0,,,,,literal_banned_terms_redacted,official_checker_rule_row
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,0,,,daily_rest_observation,"{""wait_minutes"":840}",,day_end,redacted_daily_window,,,,,540,840,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,1,,,daily_rest_observation,"{""wait_minutes"":541}",,day_end,redacted_daily_window,,,,,391,541,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,2,,,daily_rest_observation,"{""wait_minutes"":599}",,day_end,redacted_daily_window,,,,,449,599,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,3,,,daily_rest_observation,"{""wait_minutes"":1025}",,day_end,redacted_daily_window,,,,,532,1025,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,4,,,daily_rest_observation,"{""wait_minutes"":300}",,day_end,redacted_daily_window,,,,,300,300,0,0,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,5,,,daily_rest_observation,"{""wait_minutes"":613}",,day_end,redacted_daily_window,,,,,463,613,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,6,,,daily_rest_observation,"{""wait_minutes"":830}",,day_end,redacted_daily_window,,,,,530,830,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,7,,,daily_rest_observation,"{""wait_minutes"":813}",,day_end,redacted_daily_window,,,,,513,813,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,8,,,daily_rest_observation,"{""wait_minutes"":750}",,day_end,redacted_daily_window,,,,,450,750,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,9,,,daily_rest_observation,"{""wait_minutes"":810}",,day_end,redacted_daily_window,,,,,510,810,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,10,,,daily_rest_observation,"{""wait_minutes"":663}",,day_end,redacted_daily_window,,,,,513,663,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,11,,,daily_rest_observation,"{""wait_minutes"":712}",,day_end,redacted_daily_window,,,,,412,712,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,12,,,daily_rest_observation,"{""wait_minutes"":708}",,day_end,redacted_daily_window,,,,,408,708,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,13,,,daily_rest_observation,"{""wait_minutes"":1838}",,day_end,redacted_daily_window,,,,,1438,1838,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,15,,,daily_rest_observation,"{""wait_minutes"":690}",,day_end,redacted_daily_window,,,,,540,690,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,16,,,daily_rest_observation,"{""wait_minutes"":827}",,day_end,redacted_daily_window,,,,,527,827,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,17,,,daily_rest_observation,"{""wait_minutes"":763}",,day_end,redacted_daily_window,,,,,463,763,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,18,,,daily_rest_observation,"{""wait_minutes"":808}",,day_end,redacted_daily_window,,,,,508,808,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,19,,,daily_rest_observation,"{""wait_minutes"":714}",,day_end,redacted_daily_window,,,,,414,714,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,20,,,daily_rest_observation,"{""wait_minutes"":802}",,day_end,redacted_daily_window,,,,,502,802,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,21,,,daily_rest_observation,"{""wait_minutes"":788}",,day_end,redacted_daily_window,,,,,488,788,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,22,,,daily_rest_observation,"{""wait_minutes"":920}",,day_end,redacted_daily_window,,,,,470,920,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
daily_rest_matrix,runs/next_build/20260509/calendar_rest_only,20260509_reference,0bcc30e5393c,23,,,daily_rest_observation,"{""wait_minutes"":559}",,day_end,redacted_daily_window,,,,,409,559,0,1,literal_banned_terms_redacted,action_trace_daily_rollup
