dataset,row_index,action,chosen_candidate_hash,ptt_rules,ptt_controllers,vocab_links,firewall_scored,firewall_blocked,firewall_massive,macro_started,macro_completed
20260529,85,take_order,be737782cf0e3180,4,4,1,27,0,20,22,22
20260529,86,take_order,7301e259ba2fbc1b,4,4,1,42,0,40,22,22
20260529,87,wait,1230253ea99297e7,4,4,1,54,0,48,22,22
20260529,88,wait,21b6e5a8129f8288,4,4,0,0,0,0,23,23
20260529,89,take_order,6e9b3fce8fc61fd4,4,4,1,28,0,24,23,23
20260529,90,take_order,99290ba1639b9588,4,4,1,42,0,40,23,23
20260529,91,take_order,c77b0e7b5eb7321c,4,4,0,40,0,32,23,23
20260529,92,wait,1230253ea99297e7,4,4,1,44,0,39,23,23
20260529,93,wait,fab4712e9ec5a167,4,4,0,0,0,0,24,24
20260529,94,wait,54063e001d641e2e,4,4,0,0,0,0,25,25
20260529,95,take_order,aad7bd88563a1ced,4,4,0,26,0,21,25,25
20260529,96,wait,1230253ea99297e7,4,4,1,48,0,47,25,25
20260529,97,wait,1230253ea99297e7,4,4,0,47,0,46,25,25
20260529,98,wait,58fbbdbc1558d90d,4,4,0,0,0,0,26,26
20260529,99,take_order,db097fd263705607,4,4,0,40,0,38,26,26
20260529,100,wait,1230253ea99297e7,4,4,0,44,0,43,26,26
20260529,101,wait,1230253ea99297e7,4,4,1,48,0,46,26,26
20260529,102,wait,9ba69b71dd253236,4,4,0,0,0,0,27,27
20260529,103,take_order,c856438ccb346bd6,4,4,0,26,0,23,27,27
20260529,104,take_order,80cfbf063a42e5f4,4,4,0,37,0,23,27,27
20260529,105,wait,1230253ea99297e7,4,4,1,33,0,30,27,27
20260529,106,wait,abd4864bac9f46bb,4,4,0,0,0,0,28,28
20260529,107,take_order,3405a9303a6aab7a,4,4,1,31,0,29,28,28
20260529,108,take_order,1a7cf40de1b9c8c6,4,4,1,34,0,30,28,28
20260529,109,wait,1230253ea99297e7,4,4,0,43,0,31,28,28
20260529,110,wait,70f2a8a77163c19b,4,4,0,0,0,0,29,29
