run_id,dataset,driver_hash,step_hash,action_type,candidate_type,chosen_action_type,delta_official_net,delta_gross_minus_cost,delta_preference_penalty,delta_query_minutes,delta_time_minutes,label_mode,continuation_policy,exact_official_label,replay_valid_after_replacement,visibility_valid,legality_valid,state_compatibility_ok,confidence,notes
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6118a90aa706,wait,top_rejected_take,wait,-11931.38,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6118a90aa706,wait,top_rejected_take,wait,-12663.87,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6118a90aa706,wait,top_rejected_take,wait,-12800.11,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6118a90aa706,wait,top_rejected_take,wait,-13027.22,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,6118a90aa706,wait,top_rejected_take,wait,-13456.75,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,ba59c1dd8772,wait,top_rejected_take,wait,-13394.78,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,ba59c1dd8772,wait,top_rejected_take,wait,-13594.52,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,ba59c1dd8772,wait,top_rejected_take,wait,-13598.62,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,ba59c1dd8772,wait,top_rejected_take,wait,-13832.43,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
C:/budostudy/only_for_codex/thelatstcargo/runs/pce/20260529/pce_final,20260529,e7a52d984e7e,ba59c1dd8772,wait,top_rejected_take,wait,-13896.95,,,0,,completed_trajectory_replacement,local_greedy_replan,False,False,True,True,False,0.35,"heuristic_from_runtime_wait_forensic:{""reason"":""pce_daily_repair_boundary""}"
